ลำดับ,รหัส,ลำดับที่,ประเภท,หน่วย,COST_ปรับปรุง (ปีงบฯ 66),ICD-10/ICD10 TM,ICD-9-CM,QTY_MAX ปรับปรุง (ปีงบฯ 66),เงื่อนไขตรวจสอบเพิ่มเติม
,,,หมวด 1 ระบบประสาท,,,,,,
,,1.0,กระโหลกศีรษะเทียม เยื่อหุ้มสมองเทียมและวัสดุยึดกะโหลก,,,,,,
1,1001,,1.0.1 กระโหลกศีรษะเทียม (Cranioplastic implant),ชุดละ,"4,000",,"ICD-9 ของ CRANIOTOMY จากไฟล์ Excel 
0204, 0205, 0206",5,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  แต่ละชุดประกอบด้วยผง Methylmethacrylate 1 ซอง และ solution 1 ขวด,, ,,, ,
,,,        ข้อบ่งชี้  สำหรับผู้ป่วยที่มีส่วนของกระดูกกระโหลกขาดหายไป,, ,,, ,
2,1003,,1.0.3 เยื่อหุ้มสมองเทียม (Dural substitue),แผ่นละ,"9,000",,"ICD-9 ของ CRANIOTOMY จากไฟล์ Excel 
02**,04**,05**,06**,07** 
0309, 034, 0352, 0359, 8051 ",8,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นแผ่นบาง ๆ ทำจากสารสังเคราะห์หรือเนื้อเยื่อ,, ,,, ,
,,,        ข้อบ่งชี้  ใช้ทดแทนส่วนที่หายไปหรือปกคลุมสมองหรือไขสันหลัง ในส่วนที่บวมจนไม่สามารถเย็บปิดเยื่อหุ้มสมองได้,, ,,, ,
,,1.1,ท่อ/สายต่อจากช่องกระโหลก และวัสดุใช้ในช่องกะโหลก,, ,,, ,
3,1101,,1.1.1 ชุดท่อต่อช่องสมอง (External  ventricular drainage system),ชุดละ,"4,500",,"ICD9 - Craniotomy เพิ่ม 
0126, 022, 0231, 0232, 0233, 0234, 0235, 0239, 0242, 0371, 0379, 5495",9,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นชุดเพื่อใช้ระบายน้ำหล่อสมองและไขสันหลังออกสู่ภายนอกร่างกาย ประกอบด้วยท่อต่อเชื่อมสมองและไขสันหลัง (Ventricular catheter) อุปกรณ์กักเก็บน้ำและท่อต่อเชื่อม,, ,,, ,
,,,        ข้อบ่งชี้  น้ำหล่อสมองและไขสันหลังคั่ง (Hydrocephalus) หรือมีเลือดออกในช่องสมอง,, ,,, ,
4,1102,,1.1.2 อุปกรณ์ช่วยระบายน้ำในช่องสมอง   (Ventriculoperitoneal shunt),ชุดละ,"8,100",,"022, 0231, 0232, 0233, 0234, 0235, 0239, 0242, 0331, 0371,0379, 5495",3,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นชุดประกอบด้วยสายต่อช่องสมอง กระเปาะสำหรับกดทดสอบ และสายต่อภายในสู่ช่องท้องหรือช่องหัวใจ รวมถึงอุปกรณ์ที่ใช้ต่อสาย (connector),, ,,, ,
,,,        ข้อบ่งชี้  น้ำหล่อเลี้ยงสมองและไขสันหลังคั่ง (Hydrocephalus),, ,,, ,
5,1104,,1.1.4 คีบหนีบหลอดเลือดโป่งพองในช่องกระโหลกศีรษะ ( Aneurysm clip for Intracranial aneurysm),อันละ,"6,700",,"3951, 3952, 3953",5,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นคีมหนีบหลอดเลือดแดงที่โป่งพองผิดปกติ โดยใส่ไว้ในร่างกายตลอดไป,, ,,, ,
,,,        ข้อบ่งชี้  เพื่อป้องกันเลือดออกในสมองจากหลอดเลือดแดงโป่งพอง,, ,,, ,
,,,หมวด 2 ตา หู  คอ จมูก,, ,,, ,
,,2.0,ลูกตา กระจกตา และเลนส์แก้วตาเทียม,, ,,, ,
6,2001,,2.0.1ลูกตาเทียมทำด้วยพลาสติก (Eye prosthesis) ,ข้างละ,"1,000","มี ICD10 หรือ กับ ICD9
H540, H544","1631, 1639, 1641, 1642, 1661, 1662, 1682",2,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นตาปลอม โดยมีลักษณะเป็นแผ่นสารสังเคราะห์ระบายสี โดยทำจากวัสดุได้หลายชนิด เช่น พลาสติก อะคริลิก,, ,,, ,
,,,        ข้อบ่งชี้  ใช้ใส่ในผู้ป่วยที่ไม่มีลูกตาหรือตาฝ่อ,, ,,, ,
7,2002,,2.0.2 วัสดุใส่หนุนรับลูกตาเทียมชนิดไม่มีรูพรุน,อันละ,200,"มี ICD10 หรือ กับ ICD9
H540,H544","1631, 1639, 1641, 1642, 1649, 1661, 1662, 1663, 1664",2,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นวัสดุสังเคราะห์คล้ายพลาสติกแข็ง ๆ รูปร่างกลมเรียบ ใส่หลังจากผ่าตัดเอาลูกตาออก,, ,,, ,
,,,        ข้อบ่งชี้  ใช้หนุนรับลูกตาเทียมในผู้ป่วยที่จำเป็นต้องผ่าตัดเอาลูกตาออก,, ,,, ,
8,2003,,2.0.3 วัสดุใส่หนุนรับลูกตาเทียมชนิดมีรูพรุน (Integrated orbital implant),อันละ,"13,500",,"1631, 1639, 1641, 1649, 1662",2,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  รูปร่างกลม มีรูพรุน ทำด้วยวัสดุหลายชนิด เช่น  Hydroxyapatite ใส่หลังจากผ่าตัดเอาลูกตาออก,, ,,, ,
,,,        ข้อบ่งชี้   ใช้หนุนรับลูกตาเทียมในผู้ป่วยที่จำเป็นต้องเอาลูกตาออก,, ,,, ,
9,2004,,2.0.4 วัสดุเสริมกระดูกเบ้าตา  (Orbital  implant for orbit),อันละ,"2,000",,"1601, 1602, 1681, 1689, 7646, 7679",5,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นแผ่นรองกระดูกเบ้าตาที่แตก สามารถทำได้จากวัสดุหลายชนิด,, ,,, ,
,,,        ข้อบ่งชี้  ใช้ในผู้ป่วยที่กระดูกเบ้าตาแตก เพื่อแทนที่กระดูกที่หัก,, ,,, ,
10,2005,,2.0.5 กระจกตาดำเทียม (Corneal prosthesis),อันละ,"15,000",,"1164, 1169, 1173, 1631, 1639, 1641, 1642, 1649, 1661, 1669 ",2,หากไม่พบตามที่กำหนด ให้ Deny I04
,,,        ลักษณะ  เป็นวัสดุสังเคราะห์ มีความใส,, ,,, ,
,,,        ข้อบ่งชี้  ใช้ในผู้ป่วยที่กระจกตา (Cornea) ขุ่น,, ,,, ,
11,2006,,2.0.6 เลนส์แก้วตาเทียม ชนิดพับได้ (Foldable intraocular lens),อันละ,"2,800","Pdx=H250 , H251 , H252, H258, H259, H269

Sdx.=H54.0 , H54.1 , H54.2 , H54.3  , H54.4 , H54.5 , H54.6

กรณ๊เบิก 2 ข้างให้มี DRG 02110, 02112, 02114, 02120 หรือ 02124
หรือ DRGs 02010 , 02012 , 02013 , 02014  ร่วมกับ (1371+11) +(1372+12)   หรือ 1371+21  
กรณีมี1371+11  ให้จ่าย1 ข้าง  ","1319,132,1341,1342,1343,1351,1359,1369 ,1371",2,"หากไม่พบตามที่กำหนด ให้ deny I04, M15"
